"rep","chain","n","pAC","pAB","cidMean","cidMedian","cidP05","cidP25","cidP75","cidP95","cidMin","cidMax","nUnique","nCS","csMass","truthInPosterior","truthInCS","truthFreq","truthProb"
1,"aware",180,0.0222222222222222,0.788888888888889,0.446324080537133,0.452197712496766,0.331714588755691,0.407067071063399,0.492423771249906,0.545036363292395,0.174628227826624,0.600146023178087,160,151,0.95,FALSE,FALSE,0,0
1,"blind",157,0,0.853503184713376,0.519240230831345,0.524194603351333,0.400801852289648,0.479580549644794,0.5659732785242,0.600031632900795,0.348922254266659,0.692821257215419,157,150,0.955414012738854,FALSE,FALSE,0,0
2,"aware",168,0.00595238095238095,0.375,0.460255974088909,0.466713735640449,0.31747788303831,0.413182413368468,0.511543480471294,0.583215424425028,0.197842197902157,0.64307700349741,130,122,0.952380952380952,FALSE,FALSE,0,0
2,"blind",178,0,1,0.464045989022594,0.47315454106572,0.368467051197238,0.42505996599256,0.513047934753988,0.53576717145434,0.310908043995866,0.569271082190438,151,143,0.955056179775281,FALSE,FALSE,0,0
3,"aware",176,0,0.0227272727272727,0.50225532226514,0.506692868471325,0.3726411307501,0.43997643785376,0.555530024991071,0.65659871270965,0.321085855687932,0.683403135513627,113,105,0.954545454545455,FALSE,FALSE,0,0
3,"blind",171,0,0.444444444444444,0.502952924707632,0.505214325804101,0.392889506675301,0.468608736103985,0.535787888862039,0.617515723489532,0.345465355771393,0.663756219671084,170,162,0.953216374269006,FALSE,FALSE,0,0
4,"aware",172,0.0116279069767442,0.319767441860465,0.404007462364165,0.436159274999943,0.272811896773087,0.320164719508403,0.479043854081693,0.505910106454759,0.211740674553085,0.563384193089436,94,86,0.953488372093023,FALSE,FALSE,0,0
4,"blind",183,0,0.918032786885246,0.495996851088619,0.500152825670482,0.397740406907303,0.469835710354842,0.52572097919158,0.58162819630069,0.356869273918279,0.591499250085141,139,130,0.950819672131148,FALSE,FALSE,0,0
5,"aware",182,0,0.461538461538462,0.473480157567379,0.46795713738726,0.393114563015644,0.428609428402032,0.488505681533233,0.604874727910281,0.364371409232081,0.683721287441561,111,102,0.950549450549451,FALSE,FALSE,0,0
5,"blind",180,0,0.977777777777778,0.475407062099887,0.479732097857131,0.378034926475846,0.440122475811635,0.513265853750261,0.550166946319499,0.323975536770859,0.593235745968113,168,159,0.95,FALSE,FALSE,0,0
6,"aware",165,0.0303030303030303,0.0848484848484849,0.349736227683582,0.350240248401534,0.234672545326388,0.296364248742313,0.392509981392005,0.470853312764856,0.129515643421182,0.522048643752524,117,109,0.951515151515152,FALSE,FALSE,0,0
6,"blind",178,0,0.949438202247191,0.418287074789625,0.418061606678939,0.322316542046852,0.385995563880378,0.452980423505322,0.519576158104964,0.21431087008149,0.557495199979518,142,134,0.955056179775281,FALSE,FALSE,0,0
7,"aware",174,0,0.982758620689655,0.399159689325789,0.39891292430664,0.280292971602203,0.336116084295676,0.440144344778708,0.553407240363505,0.230104364572105,0.567571931372688,99,91,0.954022988505747,FALSE,FALSE,0,0
7,"blind",167,0,1,0.520734797827448,0.530202890365302,0.397409026695814,0.491392354030898,0.568170088176219,0.605576856946095,0.331797445342639,0.615443616517262,132,124,0.952095808383234,FALSE,FALSE,0,0
8,"aware",178,0.0280898876404494,0.252808988764045,0.417061787769353,0.424621869278046,0.32235556111401,0.365994857109139,0.463942721828224,0.511423218223285,0.207547917477033,0.601826143713502,167,159,0.955056179775281,FALSE,FALSE,0,0
8,"blind",167,0.0119760479041916,0.772455089820359,0.471546323756825,0.47614272325809,0.372077923971714,0.442850044002786,0.508467787889951,0.542862351376457,0.331711136455577,0.585212407258922,153,145,0.952095808383234,FALSE,FALSE,0,0
