"metric","value_corrected","value_legacy","nTrees","rep","chain","nTreesTotal","nUnique","topShare","tlMean","tlMed","tlMin","tlMax","truthTL"
"trueSister_AC",0,0,157,1,"blind",210,157,0.00636942675159236,151.670842447517,150.884786779607,99.4734110312347,228.404777130664,13.5
"trueSister_BD",0,0,157,1,"blind",210,157,0.00636942675159236,151.670842447517,150.884786779607,99.4734110312347,228.404777130664,13.5
"falseSister_AB",0.853503184713376,0.853503184713376,157,1,"blind",210,157,0.00636942675159236,151.670842447517,150.884786779607,99.4734110312347,228.404777130664,13.5
"falseSister_CD",0.853503184713376,0.21656050955414,157,1,"blind",210,157,0.00636942675159236,151.670842447517,150.884786779607,99.4734110312347,228.404777130664,13.5
"trueClade_A",0.535031847133758,0.535031847133758,157,1,"blind",210,157,0.00636942675159236,151.670842447517,150.884786779607,99.4734110312347,228.404777130664,13.5
"trueClade_B",0.522292993630573,0.522292993630573,157,1,"blind",210,157,0.00636942675159236,151.670842447517,150.884786779607,99.4734110312347,228.404777130664,13.5
"trueClade_C",0.0191082802547771,0.0191082802547771,157,1,"blind",210,157,0.00636942675159236,151.670842447517,150.884786779607,99.4734110312347,228.404777130664,13.5
"trueClade_D",0.00636942675159236,0.00636942675159236,157,1,"blind",210,157,0.00636942675159236,151.670842447517,150.884786779607,99.4734110312347,228.404777130664,13.5
"CID",0.519240230831345,0.519240230831345,157,1,"blind",210,157,0.00636942675159236,151.670842447517,150.884786779607,99.4734110312347,228.404777130664,13.5
"trueSister_AC",0.0222222222222222,0.0111111111111111,180,1,"aware",240,160,0.0222222222222222,3.19312466857967,3.12043049808381,2.35987188972512,5.08287886856634,13.5
"trueSister_BD",0.0222222222222222,0.0111111111111111,180,1,"aware",240,160,0.0222222222222222,3.19312466857967,3.12043049808381,2.35987188972512,5.08287886856634,13.5
"falseSister_AB",0.788888888888889,0.788888888888889,180,1,"aware",240,160,0.0222222222222222,3.19312466857967,3.12043049808381,2.35987188972512,5.08287886856634,13.5
"falseSister_CD",0.788888888888889,0.00555555555555556,180,1,"aware",240,160,0.0222222222222222,3.19312466857967,3.12043049808381,2.35987188972512,5.08287886856634,13.5
"trueClade_A",0.883333333333333,0.883333333333333,180,1,"aware",240,160,0.0222222222222222,3.19312466857967,3.12043049808381,2.35987188972512,5.08287886856634,13.5
"trueClade_B",0.8,0.8,180,1,"aware",240,160,0.0222222222222222,3.19312466857967,3.12043049808381,2.35987188972512,5.08287886856634,13.5
"trueClade_C",0.0777777777777778,0.0388888888888889,180,1,"aware",240,160,0.0222222222222222,3.19312466857967,3.12043049808381,2.35987188972512,5.08287886856634,13.5
"trueClade_D",0.127777777777778,0.1,180,1,"aware",240,160,0.0222222222222222,3.19312466857967,3.12043049808381,2.35987188972512,5.08287886856634,13.5
"CID",0.446324080537133,0.446324080537133,180,1,"aware",240,160,0.0222222222222222,3.19312466857967,3.12043049808381,2.35987188972512,5.08287886856634,13.5
"trueSister_AC",0,0,178,2,"blind",238,151,0.0168539325842697,108.589557388622,108.267282728795,82.4086027418415,148.232284922508,13.5
"trueSister_BD",0,0,178,2,"blind",238,151,0.0168539325842697,108.589557388622,108.267282728795,82.4086027418415,148.232284922508,13.5
"falseSister_AB",1,0,178,2,"blind",238,151,0.0168539325842697,108.589557388622,108.267282728795,82.4086027418415,148.232284922508,13.5
"falseSister_CD",1,1,178,2,"blind",238,151,0.0168539325842697,108.589557388622,108.267282728795,82.4086027418415,148.232284922508,13.5
"trueClade_A",0.730337078651685,0.730337078651685,178,2,"blind",238,151,0.0168539325842697,108.589557388622,108.267282728795,82.4086027418415,148.232284922508,13.5
"trueClade_B",0.207865168539326,0.0168539325842697,178,2,"blind",238,151,0.0168539325842697,108.589557388622,108.267282728795,82.4086027418415,148.232284922508,13.5
"trueClade_C",0.0280898876404494,0.0280898876404494,178,2,"blind",238,151,0.0168539325842697,108.589557388622,108.267282728795,82.4086027418415,148.232284922508,13.5
"trueClade_D",0.179775280898876,0.179775280898876,178,2,"blind",238,151,0.0168539325842697,108.589557388622,108.267282728795,82.4086027418415,148.232284922508,13.5
"CID",0.464045989022594,0.464045989022594,178,2,"blind",238,151,0.0168539325842697,108.589557388622,108.267282728795,82.4086027418415,148.232284922508,13.5
"trueSister_AC",0.00595238095238095,0.00595238095238095,168,2,"aware",225,130,0.0238095238095238,3.68905714832938,3.67242350534706,2.54300977421774,7.35538197513239,13.5
"trueSister_BD",0.00595238095238095,0,168,2,"aware",225,130,0.0238095238095238,3.68905714832938,3.67242350534706,2.54300977421774,7.35538197513239,13.5
"falseSister_AB",0.375,0.214285714285714,168,2,"aware",225,130,0.0238095238095238,3.68905714832938,3.67242350534706,2.54300977421774,7.35538197513239,13.5
"falseSister_CD",0.375,0.238095238095238,168,2,"aware",225,130,0.0238095238095238,3.68905714832938,3.67242350534706,2.54300977421774,7.35538197513239,13.5
"trueClade_A",0.523809523809524,0.523809523809524,168,2,"aware",225,130,0.0238095238095238,3.68905714832938,3.67242350534706,2.54300977421774,7.35538197513239,13.5
"trueClade_B",0.577380952380952,0.476190476190476,168,2,"aware",225,130,0.0238095238095238,3.68905714832938,3.67242350534706,2.54300977421774,7.35538197513239,13.5
"trueClade_C",0.0476190476190476,0.0476190476190476,168,2,"aware",225,130,0.0238095238095238,3.68905714832938,3.67242350534706,2.54300977421774,7.35538197513239,13.5
"trueClade_D",0.0595238095238095,0.0595238095238095,168,2,"aware",225,130,0.0238095238095238,3.68905714832938,3.67242350534706,2.54300977421774,7.35538197513239,13.5
"CID",0.460255974088909,0.460255974088909,168,2,"aware",225,130,0.0238095238095238,3.68905714832938,3.67242350534706,2.54300977421774,7.35538197513239,13.5
"trueSister_AC",0,0,171,3,"blind",228,170,0.0116959064327485,35.9918217515822,33.9755741909488,25.3378186361072,49.9302281485227,13.5
"trueSister_BD",0,0,171,3,"blind",228,170,0.0116959064327485,35.9918217515822,33.9755741909488,25.3378186361072,49.9302281485227,13.5
"falseSister_AB",0.444444444444444,0.43859649122807,171,3,"blind",228,170,0.0116959064327485,35.9918217515822,33.9755741909488,25.3378186361072,49.9302281485227,13.5
"falseSister_CD",0.444444444444444,0.105263157894737,171,3,"blind",228,170,0.0116959064327485,35.9918217515822,33.9755741909488,25.3378186361072,49.9302281485227,13.5
"trueClade_A",0.333333333333333,0.315789473684211,171,3,"blind",228,170,0.0116959064327485,35.9918217515822,33.9755741909488,25.3378186361072,49.9302281485227,13.5
"trueClade_B",0.573099415204678,0.573099415204678,171,3,"blind",228,170,0.0116959064327485,35.9918217515822,33.9755741909488,25.3378186361072,49.9302281485227,13.5
"trueClade_C",0.00584795321637427,0,171,3,"blind",228,170,0.0116959064327485,35.9918217515822,33.9755741909488,25.3378186361072,49.9302281485227,13.5
"trueClade_D",0.00584795321637427,0,171,3,"blind",228,170,0.0116959064327485,35.9918217515822,33.9755741909488,25.3378186361072,49.9302281485227,13.5
"CID",0.502952924707632,0.502952924707632,171,3,"blind",228,170,0.0116959064327485,35.9918217515822,33.9755741909488,25.3378186361072,49.9302281485227,13.5
"trueSister_AC",0,0,176,3,"aware",235,113,0.0625,20.7055559304758,20.5162153667069,14.2649553374767,33.0827763721658,13.5
"trueSister_BD",0,0,176,3,"aware",235,113,0.0625,20.7055559304758,20.5162153667069,14.2649553374767,33.0827763721658,13.5
"falseSister_AB",0.0227272727272727,0.0227272727272727,176,3,"aware",235,113,0.0625,20.7055559304758,20.5162153667069,14.2649553374767,33.0827763721658,13.5
"falseSister_CD",0.0227272727272727,0,176,3,"aware",235,113,0.0625,20.7055559304758,20.5162153667069,14.2649553374767,33.0827763721658,13.5
"trueClade_A",0,0,176,3,"aware",235,113,0.0625,20.7055559304758,20.5162153667069,14.2649553374767,33.0827763721658,13.5
"trueClade_B",0.818181818181818,0.818181818181818,176,3,"aware",235,113,0.0625,20.7055559304758,20.5162153667069,14.2649553374767,33.0827763721658,13.5
"trueClade_C",0.0340909090909091,0.0340909090909091,176,3,"aware",235,113,0.0625,20.7055559304758,20.5162153667069,14.2649553374767,33.0827763721658,13.5
"trueClade_D",0.0284090909090909,0,176,3,"aware",235,113,0.0625,20.7055559304758,20.5162153667069,14.2649553374767,33.0827763721658,13.5
"CID",0.50225532226514,0.50225532226514,176,3,"aware",235,113,0.0625,20.7055559304758,20.5162153667069,14.2649553374767,33.0827763721658,13.5
"trueSister_AC",0,0,183,4,"blind",245,139,0.0382513661202186,24.3762706690619,24.2631345405146,18.8267096872796,32.5094067123195,13.5
"trueSister_BD",0,0,183,4,"blind",245,139,0.0382513661202186,24.3762706690619,24.2631345405146,18.8267096872796,32.5094067123195,13.5
"falseSister_AB",0.918032786885246,0.901639344262295,183,4,"blind",245,139,0.0382513661202186,24.3762706690619,24.2631345405146,18.8267096872796,32.5094067123195,13.5
