"rep","chain","nTreesTotal","nTrees","nUnique","topShare","tlMean","tlMed","tlMin","tlMax","truthTL","corr_trueSister_AC","leg_trueSister_AC","corr_trueSister_BD","leg_trueSister_BD","corr_falseSister_AB","leg_falseSister_AB","corr_falseSister_CD","leg_falseSister_CD","corr_trueClade_A","leg_trueClade_A","corr_trueClade_B","leg_trueClade_B","corr_trueClade_C","leg_trueClade_C","corr_trueClade_D","leg_trueClade_D","corr_CID","leg_CID"
1,"aware",240,180,160,0.0222222222222222,3.19312466857967,3.12043049808381,2.35987188972512,5.08287886856634,13.5,0.0222222222222222,0.0111111111111111,0.0222222222222222,0.0111111111111111,0.788888888888889,0.788888888888889,0.788888888888889,0.00555555555555556,0.883333333333333,0.883333333333333,0.8,0.8,0.0777777777777778,0.0388888888888889,0.127777777777778,0.1,0.446324080537133,0.446324080537133
1,"blind",210,157,157,0.00636942675159236,151.670842447517,150.884786779607,99.4734110312347,228.404777130664,13.5,0,0,0,0,0.853503184713376,0.853503184713376,0.853503184713376,0.21656050955414,0.535031847133758,0.535031847133758,0.522292993630573,0.522292993630573,0.0191082802547771,0.0191082802547771,0.00636942675159236,0.00636942675159236,0.519240230831345,0.519240230831345
2,"aware",225,168,130,0.0238095238095238,3.68905714832938,3.67242350534706,2.54300977421774,7.35538197513239,13.5,0.00595238095238095,0.00595238095238095,0.00595238095238095,0,0.375,0.214285714285714,0.375,0.238095238095238,0.523809523809524,0.523809523809524,0.577380952380952,0.476190476190476,0.0476190476190476,0.0476190476190476,0.0595238095238095,0.0595238095238095,0.460255974088909,0.460255974088909
2,"blind",238,178,151,0.0168539325842697,108.589557388622,108.267282728795,82.4086027418415,148.232284922508,13.5,0,0,0,0,1,0,1,1,0.730337078651685,0.730337078651685,0.207865168539326,0.0168539325842697,0.0280898876404494,0.0280898876404494,0.179775280898876,0.179775280898876,0.464045989022594,0.464045989022594
3,"aware",235,176,113,0.0625,20.7055559304758,20.5162153667069,14.2649553374767,33.0827763721658,13.5,0,0,0,0,0.0227272727272727,0.0227272727272727,0.0227272727272727,0,0,0,0.818181818181818,0.818181818181818,0.0340909090909091,0.0340909090909091,0.0284090909090909,0,0.50225532226514,0.50225532226514
3,"blind",228,171,170,0.0116959064327485,35.9918217515822,33.9755741909488,25.3378186361072,49.9302281485227,13.5,0,0,0,0,0.444444444444444,0.43859649122807,0.444444444444444,0.105263157894737,0.333333333333333,0.315789473684211,0.573099415204678,0.573099415204678,0.00584795321637427,0,0.00584795321637427,0,0.502952924707632,0.502952924707632
4,"aware",230,172,94,0.0523255813953488,3.21248028632343,3.15412744949198,2.39163306323828,4.48126753691742,13.5,0.0116279069767442,0,0.0116279069767442,0.0116279069767442,0.319767441860465,0.244186046511628,0.319767441860465,0.0755813953488372,0.267441860465116,0.267441860465116,0.720930232558139,0.604651162790698,0,0,0.0174418604651163,0.0174418604651163,0.404007462364165,0.404007462364165
4,"blind",245,183,139,0.0382513661202186,24.3762706690619,24.2631345405146,18.8267096872796,32.5094067123195,13.5,0,0,0,0,0.918032786885246,0.901639344262295,0.918032786885246,0.213114754098361,0.273224043715847,0.273224043715847,0.797814207650273,0.797814207650273,0.0163934426229508,0,0,0,0.495996851088619,0.495996851088619
5,"aware",243,182,111,0.0604395604395604,19.2058073091319,18.5751169472926,11.8673173705737,30.5009881486583,13.5,0,0,0,0,0.461538461538462,0.461538461538462,0.461538461538462,0.0714285714285714,0.192307692307692,0.181318681318681,0.769230769230769,0.747252747252747,0,0,0.021978021978022,0.010989010989011,0.473480157567379,0.473480157567379
5,"blind",240,180,168,0.0222222222222222,119.49211798895,118.777849636033,93.9583181699412,166.905037479338,13.5,0,0,0,0,0.977777777777778,0,0.977777777777778,0.977777777777778,0.361111111111111,0.111111111111111,0.727777777777778,0.588888888888889,0.0333333333333333,0.0333333333333333,0.0555555555555556,0.0555555555555556,0.475407062099887,0.475407062099887
6,"aware",220,165,117,0.0303030303030303,18.435040724485,18.210649627447,11.7481725394299,27.611674614677,13.5,0.0303030303030303,0,0.0303030303030303,0.0303030303030303,0.0848484848484849,0.0848484848484849,0.0848484848484849,0.00606060606060606,0.666666666666667,0.666666666666667,0.775757575757576,0.775757575757576,0.0666666666666667,0,0.296969696969697,0.296969696969697,0.349736227683582,0.349736227683582
6,"blind",238,178,142,0.0224719101123595,81.1855516481643,81.2552705378444,60.468395172525,101.817986246863,13.5,0,0,0,0,0.949438202247191,0.443820224719101,0.949438202247191,0.904494382022472,0.219101123595506,0.207865168539326,0.786516853932584,0.539325842696629,0.365168539325843,0.365168539325843,0.146067415730337,0.140449438202247,0.418287074789625,0.418287074789625
7,"aware",233,174,99,0.028735632183908,2.86947903667696,2.81438528910895,1.98464099425261,4.18841295943564,13.5,0,0,0,0,0.982758620689655,0.982758620689655,0.982758620689655,0,0.413793103448276,0.413793103448276,1,1,0.0574712643678161,0.0574712643678161,0.32183908045977,0.218390804597701,0.399159689325789,0.399159689325789
