"runName","design","paramSet","chain","repId","metric","value_corrected","value_legacy","fracRootInside","nTrees","rdsPath"
"v4-v4a-blind","v4","v4a","blind",NA,"CID",0.191287559386729,0.191287559386729,NA,171,"/nobackup/pjjg18/mkp-sim3-v4a/results/blind-result.rds"
"v4-v4a-blind","v4","v4a","blind",NA,"falseSister",0,0,NA,171,"/nobackup/pjjg18/mkp-sim3-v4a/results/blind-result.rds"
"v4-v4a-blind","v4","v4a","blind",NA,"trueClade_A",0.906432748538012,0.906432748538012,1,171,"/nobackup/pjjg18/mkp-sim3-v4a/results/blind-result.rds"
"v4-v4a-blind","v4","v4a","blind",NA,"trueClade_C",0.812865497076023,0.812865497076023,0,171,"/nobackup/pjjg18/mkp-sim3-v4a/results/blind-result.rds"
"v4-v4a-blind","v4","v4a","blind",NA,"trueSister_AC",0.912280701754386,0.818713450292398,1,171,"/nobackup/pjjg18/mkp-sim3-v4a/results/blind-result.rds"
"v4-v4a-aware","v4","v4a","aware",NA,"CID",0.116175777204895,0.116175777204895,NA,172,"/nobackup/pjjg18/mkp-sim3-v4a/results/aware-result.rds"
"v4-v4a-aware","v4","v4a","aware",NA,"falseSister",0,0,NA,172,"/nobackup/pjjg18/mkp-sim3-v4a/results/aware-result.rds"
"v4-v4a-aware","v4","v4a","aware",NA,"trueClade_A",1,1,NA,172,"/nobackup/pjjg18/mkp-sim3-v4a/results/aware-result.rds"
"v4-v4a-aware","v4","v4a","aware",NA,"trueClade_C",1,1,NA,172,"/nobackup/pjjg18/mkp-sim3-v4a/results/aware-result.rds"
"v4-v4a-aware","v4","v4a","aware",NA,"trueSister_AC",1,1,NA,172,"/nobackup/pjjg18/mkp-sim3-v4a/results/aware-result.rds"
"v4-v4b-blind","v4","v4b","blind",NA,"CID",0.00219719729645101,0.00219719729645101,NA,183,"/nobackup/pjjg18/mkp-sim3-v4b/results/blind-result.rds"
"v4-v4b-blind","v4","v4b","blind",NA,"falseSister",0,0,0,183,"/nobackup/pjjg18/mkp-sim3-v4b/results/blind-result.rds"
"v4-v4b-blind","v4","v4b","blind",NA,"trueClade_A",1,0.994535519125683,1,183,"/nobackup/pjjg18/mkp-sim3-v4b/results/blind-result.rds"
"v4-v4b-blind","v4","v4b","blind",NA,"trueClade_C",1,1,0,183,"/nobackup/pjjg18/mkp-sim3-v4b/results/blind-result.rds"
"v4-v4b-blind","v4","v4b","blind",NA,"trueSister_AC",1,0.573770491803279,1,183,"/nobackup/pjjg18/mkp-sim3-v4b/results/blind-result.rds"
"v4-v4b-aware","v4","v4b","aware",NA,"CID",0,0,NA,183,"/nobackup/pjjg18/mkp-sim3-v4b/results/aware-result.rds"
"v4-v4b-aware","v4","v4b","aware",NA,"falseSister",0,0,NA,183,"/nobackup/pjjg18/mkp-sim3-v4b/results/aware-result.rds"
"v4-v4b-aware","v4","v4b","aware",NA,"trueClade_A",1,1,1,183,"/nobackup/pjjg18/mkp-sim3-v4b/results/aware-result.rds"
"v4-v4b-aware","v4","v4b","aware",NA,"trueClade_C",1,1,0,183,"/nobackup/pjjg18/mkp-sim3-v4b/results/aware-result.rds"
"v4-v4b-aware","v4","v4b","aware",NA,"trueSister_AC",1,0.989071038251366,1,183,"/nobackup/pjjg18/mkp-sim3-v4b/results/aware-result.rds"
"v4-v4c-blind","v4","v4c","blind",NA,"CID",0,0,NA,180,"/nobackup/pjjg18/mkp-sim3-v4c/results/blind-result.rds"
"v4-v4c-blind","v4","v4c","blind",NA,"falseSister",0,0,NA,180,"/nobackup/pjjg18/mkp-sim3-v4c/results/blind-result.rds"
"v4-v4c-blind","v4","v4c","blind",NA,"trueClade_A",1,1,1,180,"/nobackup/pjjg18/mkp-sim3-v4c/results/blind-result.rds"
"v4-v4c-blind","v4","v4c","blind",NA,"trueClade_C",1,1,0,180,"/nobackup/pjjg18/mkp-sim3-v4c/results/blind-result.rds"
"v4-v4c-blind","v4","v4c","blind",NA,"trueSister_AC",1,0.911111111111111,1,180,"/nobackup/pjjg18/mkp-sim3-v4c/results/blind-result.rds"
"v4-v4c-aware","v4","v4c","aware",NA,"CID",0,0,NA,183,"/nobackup/pjjg18/mkp-sim3-v4c/results/aware-result.rds"
"v4-v4c-aware","v4","v4c","aware",NA,"falseSister",0,0,NA,183,"/nobackup/pjjg18/mkp-sim3-v4c/results/aware-result.rds"
"v4-v4c-aware","v4","v4c","aware",NA,"trueClade_A",1,1,NA,183,"/nobackup/pjjg18/mkp-sim3-v4c/results/aware-result.rds"
"v4-v4c-aware","v4","v4c","aware",NA,"trueClade_C",1,0.00546448087431694,0,183,"/nobackup/pjjg18/mkp-sim3-v4c/results/aware-result.rds"
"v4-v4c-aware","v4","v4c","aware",NA,"trueSister_AC",1,0,NA,183,"/nobackup/pjjg18/mkp-sim3-v4c/results/aware-result.rds"
"v4cross-b-blind","v4cross","v4b","blind",NA,"CID",0.00721557814034835,0.00721557814034835,NA,174,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/blind-result.rds"
"v4cross-b-blind","v4cross","v4b","blind",NA,"falseClade_AB",0,0,1,174,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/blind-result.rds"
"v4cross-b-blind","v4cross","v4b","blind",NA,"falseInner",0,0,0,174,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/blind-result.rds"
"v4cross-b-blind","v4cross","v4b","blind",NA,"trueClade_A",0.931034482758621,0.367816091954023,1,174,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/blind-result.rds"
"v4cross-b-blind","v4cross","v4b","blind",NA,"trueClade_B",1,1,0,174,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/blind-result.rds"
"v4cross-b-blind","v4cross","v4b","blind",NA,"trueClade_C",1,1,0,174,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/blind-result.rds"
"v4cross-b-blind","v4cross","v4b","blind",NA,"trueClade_D",1,1,0,174,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/blind-result.rds"
"v4cross-b-blind","v4cross","v4b","blind",NA,"trueSister_AC",1,0.235632183908046,1,174,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/blind-result.rds"
"v4cross-b-blind","v4cross","v4b","blind",NA,"trueSister_BD",1,0.850574712643678,0,174,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/blind-result.rds"
"v4cross-b-aware","v4cross","v4b","aware",NA,"CID",0,0,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/aware-result.rds"
"v4cross-b-aware","v4cross","v4b","aware",NA,"falseClade_AB",0,0,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/aware-result.rds"
"v4cross-b-aware","v4cross","v4b","aware",NA,"falseInner",0,0,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/aware-result.rds"
"v4cross-b-aware","v4cross","v4b","aware",NA,"trueClade_A",1,1,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/aware-result.rds"
"v4cross-b-aware","v4cross","v4b","aware",NA,"trueClade_B",1,0.120879120879121,0,182,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/aware-result.rds"
"v4cross-b-aware","v4cross","v4b","aware",NA,"trueClade_C",1,1,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/aware-result.rds"
"v4cross-b-aware","v4cross","v4b","aware",NA,"trueClade_D",1,1,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/aware-result.rds"
"v4cross-b-aware","v4cross","v4b","aware",NA,"trueSister_AC",1,1,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/aware-result.rds"
"v4cross-b-aware","v4cross","v4b","aware",NA,"trueSister_BD",1,0,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-b/results/aware-result.rds"
"v4cross-b-pt-blind","v4cross","v4b","blind",NA,"CID",0.000678146701801683,0.000678146701801683,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/blind-result.rds"
"v4cross-b-pt-blind","v4cross","v4b","blind",NA,"falseClade_AB",0,0,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/blind-result.rds"
"v4cross-b-pt-blind","v4cross","v4b","blind",NA,"falseInner",0,0,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/blind-result.rds"
"v4cross-b-pt-blind","v4cross","v4b","blind",NA,"trueClade_A",1,0.633879781420765,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/blind-result.rds"
"v4cross-b-pt-blind","v4cross","v4b","blind",NA,"trueClade_B",1,0.92896174863388,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/blind-result.rds"
"v4cross-b-pt-blind","v4cross","v4b","blind",NA,"trueClade_C",1,0.92896174863388,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/blind-result.rds"
