tip	family	notes
Acomys	Muridae	Deomyinae
Anomalurus	Anomaluridae
Aplodontia	Aplodontidae
Arvicanthis	Muridae	Murinae
Arvicola	Cricetidae	Arvicolinae
Capromys	Echimyidae
Castor	Castoridae
Cavia	Caviidae
Chaetodipus	Heteromyidae
Chinchilla	Chinchillidae
Cricetomys	Nesomyidae
Cuniculus	Cuniculidae
Dasyprocta	Dasyproctidae
Dermoptera	Dermoptera	outgroup tip
Didelphis	Didelphis	outgroup tip
Dipodomys	Heteromyidae
Dipus	Dipodidae
Echimys	Echimyidae
Eliomys	Gliridae
Erethizon	Erethizontidae
Eulemur_macaco	Eulemur_macaco
Geomys	Geomyidae
Gerbillus	Muridae	Gerbillinae
Glaucomys	Sciuridae
Graphiurus	Gliridae
Heterocephalus	Bathyergidae
Heteromys	Heteromyidae
Hydrochoerus	Caviidae
Hydromys	Muridae	Hydromyinae
Hystrix	Hystricidae
Jaculus	Dipodidae
Laonastes	Diatomyidae	Laotian rock rat
Lepus	Leporidae
Macropus	Macropus	outgroup tip
Marmota	Sciuridae
Massoutiera	Ctenodactylidae
Mus	Muridae
Myocastor	Echimyidae
Myoxus	Gliridae	= Glis
Napaeozapus	Dipodidae	Zapodinae - treated as Dipodidae sensu lato (Fabre 2012 Dipodoidea = Dipodidae)
Neotoma	Cricetidae
Ochotona	Ochotonidae	pika
Orthogeomys	Geomyidae
Oryctolagus	Leporidae
Papio_hamadryas	Papio_hamadryas	outgroup tip
Pedetes	Pedetidae	springhare
Perognathus	Heteromyidae
Platacanthomyidae	Platacanthomyidae	matrix tip already at family rank
Rattus	Muridae
Ratufa	Sciuridae
Rhynchocyon	Rhynchocyon	outgroup tip
Sciurus	Sciuridae
Spalax	Spalacidae
Sylvilagus	Leporidae
Tamias	Sciuridae
Tamiasciurus	Sciuridae
Thomomys	Geomyidae
Thryonomys	Thryonomyidae	cane rat
Tupaia	Tupaia	outgroup tip
Vombatus	Vombatus	outgroup tip
