"param","median","mean","p05","p25","p75","p95"
"phi",4.02759674723227,4.17803941972013,3.09657112907221,3.53152915694984,4.6628153425491,5.78086352265665
"pi0",0.429728923588527,0.425712000914888,0.286349212107113,0.364220018844719,0.487626030264675,0.562813715607836
"theta_1",0.174339372151302,0.171271413149245,0.0738947841810909,0.12986683413847,0.212657095961924,0.264159195320281
"theta_2",0.497548648081745,0.503712942054962,0.309912394595881,0.401631130099684,0.591598214412824,0.71707315079268
"theta_3",0.285624380082253,0.285677197264514,0.16004959650376,0.23353163168164,0.333620710264794,0.410566652380182
"tree_length",22.6041569515091,22.8003327603103,15.4451216773962,19.8832100783942,25.5117934739062,31.0991364200115
"log_posterior",-5450.72953306772,-5448.21810331101,-5488.00043867739,-5468.39388372984,-5433.7502169655,-5396.02542697862
"log_likelihood",-5226.98068455001,-5226.10094905042,-5255.28943092302,-5239.54176041597,-5213.34893929581,-5195.63012136341
"rate_loss",1.19278080445986,1.19295152014063,1.0216902712622,1.12217115490184,1.26812561716076,1.35654154485656
"rate_log_sd",1.12602452911617,1.12779967454878,0.993667822513481,1.06918157707481,1.18247229348788,1.26534653915028
"rate_neo",0.498324009497262,0.509114730804056,0.353051034014164,0.428949908342907,0.564770685959681,0.704837142910654
"p",0.985263188733082,0.979441680188614,0.942997980966779,0.971747553019124,0.993740936967063,0.99881764457161
