Sample	log_posterior	log_likelihood	tree_length	rate_loss	rate_log_sd	p	rate_neo	swap_cold	topo_hash	kPrime_54	kPrime_55	kPrime_56	kPrime_57	kPrime_58	kPrime_59	kPrime_60	kPrime_61	kPrime_62	kPrime_63	kPrime_64	kPrime_65	kPrime_66	kPrime_67	kPrime_68	kPrime_69	kPrime_70	kPrime_71	kPrime_72	kPrime_73	kPrime_74	kPrime_75	kPrime_76	kPrime_77	kPrime_78	kPrime_79	kPrime_80	kPrime_81	kPrime_82	kPrime_83	kPrime_84	kPrime_85	kPrime_86	kPrime_87	kPrime_88	kPrime_89	kPrime_90	kPrime_91	kPrime_92	kPrime_93	kPrime_94	kPrime_95	kPrime_96	kPrime_97	kPrime_98	kPrime_99	kPrime_100	kPrime_101	kPrime_102	kPrime_103	kPrime_104	kPrime_105	kPrime_106	kPrime_107	kPrime_108	kPrime_109	kPrime_110	kPrime_111	kPrime_112	kPrime_113	kPrime_114	kPrime_115	kPrime_116	kPrime_117	kPrime_118	kPrime_119	kPrime_120	kPrime_121	kPrime_122	kPrime_123	kPrime_124	kPrime_125	kPrime_126	kPrime_127	kPrime_128	kPrime_129	kPrime_130	kPrime_131	kPrime_132	kPrime_133	kPrime_134	kPrime_135	kPrime_136	kPrime_137	kPrime_138	kPrime_139	kPrime_140	kPrime_141	kPrime_142	kPrime_143	kPrime_144	kPrime_145	kPrime_146	kPrime_147	kPrime_148	kPrime_149	kPrime_150	kPrime_151	kPrime_152	kPrime_153	kPrime_154	kPrime_155	kPrime_156	kPrime_157	kPrime_158	kPrime_159	kPrime_160	kPrime_161	kPrime_162	kPrime_163	kPrime_164	kPrime_165	kPrime_166	kPrime_167	kPrime_168	kPrime_169	kPrime_170	kPrime_171	kPrime_172	kPrime_173	kPrime_174	kPrime_175	kPrime_176	kPrime_177	kPrime_178	kPrime_179	kPrime_180	kPrime_181	kPrime_182	kPrime_183	kPrime_184	kPrime_185	kPrime_186	kPrime_187	br_1	br_2	br_3	br_4	br_5	br_6	br_7	br_8	br_9	br_10	br_11	br_12	br_13	br_14	br_15	br_16	br_17	br_18	br_19	br_20	br_21	br_22	br_23	br_24	br_25	br_26	br_27	br_28	br_29	br_30
# Topology: spr:4.7% nni:1.0% gibbs_spr:1.0% gibbs_subtree_swap:1.0% tbr:1.0% pspr:1.0%
# Branches: tree_length:2.9% branch_lengths:1.0% dirichlet_branch:1.0% local_dirichlet:1.0%
# Characters: gibbs_kPrime:32.1% kPrime:12.8% p:1.7% block_kPrime:1.0%
# Rates: neo_joint:9.6% rate_neo:5.8% rate_loss:5.5% joint_tl_rls:4.4% joint_tl_rl:3.6% rate_log_sd:2.7% slice_rate_loss:1.7% slice_rate_neo:1.7% slice_rate_log_sd:1.7%
54200	-956.708508489167	-1023.81884543054	1.58197838390164	1.58533464307935	0.294974953159107	0.999961911589836	0.750701605598401	15	5373602203229215	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0105627327193411	0.0209283348470639	0.134059638178259	0.00428912000121299	0.00428912000121299	0.145715308489176	0.0172492633019535	0.0332434787313218	0.028637558574078	0.0285117746836653	0.019055433432988	0.00831159325279369	0.0188908629348052	0.0310086114216001	0.0514048596862344	0.0300408600587401	0.0453318054831733	0.142581443474083	0.029887872605103	0.0164231634909247	0.0292228054235135	0.00971927416398218	0.0162775801212687	0.00181707650287029	0.0159494138668312	0.0218127492375909	0.011030339647811	0.0114352381195695	0.0375347129493766	0.0247779745994552
54400	-958.25584128421	-1023.14880196344	1.00659631751304	2.58165454379253	1.16110337374512	0.995854636024609	1.22946996968978	10	6882945336393823	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0274690532160331	0.0272480347832699	0.0932869830940845	0.00428912000121299	0.00428912000121299	0.145715308489176	0.0172492633019535	0.0332434787313218	0.028637558574078	0.0285117746836653	0.019055433432988	0.00831159325279369	0.0136030371474415	0.0310086114216001	0.0514048596862344	0.0300408600587401	0.0453318054831733	0.158663785001876	0.0406710442403144	0.0164231634909247	0.0292228054235135	0.00568822143961825	0.0162775801212687	0.00181707650287029	0.0159494138668312	0.0218127492375909	0.011030339647811	0.0114352381195695	0.0375347129493766	0.0247779745994552
54600	-971.740643495143	-1027.56515763957	1.02264094857437	1.48882168228722	0.861258511309658	0.978633003488288	1.2073870767696	23	8728474999979009	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.167567015143716	0.0853141447398377	0.167147618163902	0.0110607646222979	0.024932813921091	0.0110607646222979	0.0447720778576726	0.0238556824713791	0.00601432456458125	0.0101523024004513	0.015704232448041	0.0394280139965708	0.0240980128767509	0.0187122012426399	0.0311743346695665	0.0414261185033619	0.0250564438933801	0.0219533384778112	0.0324446686617464	0.0196715878129797	0.0299891820406287	0.0324222525193259	0.0178905456562113	0.013683753629714	0.00848632992918094	0.0128275900681498	0.0195147028109405	0.024362231724241	0.00752117879821835	0.0117557717333137
54800	-961.298209960102	-1026.7033108502	1.37823247609751	1.17280091995666	0.0378117178561045	0.983177877827842	0.882794686548947	31	5887132882379974	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0247779745994552	0.0272480347832699	0.0975761030952975	0.0091786623290008	0.129664923479433	0.0180122461407745	0.0332434787313218	0.028637558574078	0.0207895045403269	0.0253886746297151	0.0186819985979606	0.0136030371474415	0.0514048596862344	0.0300408600587401	0.0226659027415867	0.0226659027415867	0.0310086114216001	0.158663785001876	0.0406710442403144	0.0164231634909247	0.0292228054235135	0.00568822143961825	0.0162775801212687	0.00323355994744892	0.0159494138668312	0.0218127492375909	0.011030339647811	0.0114352381195695	0.0274690532160331	0.0375347129493766
55000	-975.434875908066	-1024.19864783366	1.37823247609751	1.41117983598741	0.520897052563535	0.979804329825238	0.772237415786857	0	3228060783032114	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	0.0247779745994552	0.0272480347832699	0.0975761030952975	0.138843585808433	0.0180122461407745	0.018596745593053	0.028637558574078	0.0207895045403269	0.0253886746297151	0.0284172973291942	0.0199286119159179	0.0136030371474415	0.0514048596862344	0.0300408600587401	0.0113329513707933	0.0226659027415867	0.0310086114216001	0.158663785001876	0.0406710442403144	0.0164231634909247	0.0199778006623037	0.00568822143961825	0.0162775801212687	0.00879433857056926	0.0159494138668312	0.0218127492375909	0.011030339647811	0.0114352381195695	0.0274690532160331	0.0375347129493766
55200	-959.221700135709	-1025.09116781182	1.16638819807078	2.24145120732408	0.646841107806108	0.995157397722765	0.795332726619783	10	3228060783032114	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0247779745994552	0.0272480347832699	0.0975761030952975	0.138843585808433	0.0180122461407745	0.018596745593053	0.028637558574078	0.0207895045403269	0.0253886746297151	0.0284172973291942	0.0199286119159179	0.0136030371474415	0.0514048596862344	0.0300408600587401	0.0113329513707933	0.0226659027415867	0.0310086114216001	0.158663785001876	0.0406710442403144	0.0164231634909247	0.0199778006623037	0.00568822143961825	0.0162775801212687	0.00879433857056926	0.0159494138668312	0.0218127492375909	0.011030339647811	0.0114352381195695	0.0274690532160331	0.0375347129493766
