"runName","chain","repId","rootConfig","count","nTrees"
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4",9,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3",1,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",40,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3",4,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",13,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,C1,C2,C3,C4",2,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,C1,C2,C3,C4,D1,D2,D3,D4",7,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B4,C1,C2,C3,C4,D1,D2,D3,D4",12,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B1,B2,C1,C2,C3,C4",6,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B1,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",9,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",13,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",11,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B3,B4,D1,D2,D3,D4",1,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B3,C1,C2,C3,C4",7,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B4,C1,C2,C3,C4",1,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,B4,C1,C2,C3,C4,D1,D2,D3,D4",14,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,C1,C2,C3,C4",18,171
"v4-v4a-blind","blind",NA,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",3,171
"v4-v4a-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B4,C1,C2,C3,C4,D1,D2,D3,D4",1,172
"v4-v4a-aware","aware",NA,"A1,A2,A3,A4,B1,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",97,172
"v4-v4a-aware","aware",NA,"A1,A2,A3,A4,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",24,172
"v4-v4a-aware","aware",NA,"A1,A2,A3,A4,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",19,172
"v4-v4a-aware","aware",NA,"A1,A2,A3,A4,B4,C1,C2,C3,C4,D1,D2,D3,D4",31,172
"v4-v4b-blind","blind",NA,"A1,A2,A3,A4",56,183
"v4-v4b-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",12,183
"v4-v4b-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",21,183
"v4-v4b-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B4,C1,C2,C3,C4,D1,D2,D3,D4",16,183
"v4-v4b-blind","blind",NA,"A1,A2,A3,A4,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",6,183
"v4-v4b-blind","blind",NA,"A1,A2,A3,A4,B4,C1,C2,C3,C4,D1,D2,D3,D4",5,183
"v4-v4b-blind","blind",NA,"A1,A2,A3,A4,C1,C2,C3,C4",54,183
"v4-v4b-blind","blind",NA,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",12,183
"v4-v4b-blind","blind",NA,"A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",1,183
"v4-v4b-aware","aware",NA,"A1,A2,A3,A4",2,183
"v4-v4b-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",19,183
"v4-v4b-aware","aware",NA,"A1,A2,A3,A4,C1,C2,C3,C4",119,183
"v4-v4b-aware","aware",NA,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",43,183
"v4-v4c-blind","blind",NA,"A1,A2,A3,A4",7,180
"v4-v4c-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",23,180
"v4-v4c-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",9,180
"v4-v4c-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B4,C1,C2,C3,C4,D1,D2,D3,D4",10,180
"v4-v4c-blind","blind",NA,"A1,A2,A3,A4,B1,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",18,180
"v4-v4c-blind","blind",NA,"A1,A2,A3,A4,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",11,180
"v4-v4c-blind","blind",NA,"A1,A2,A3,A4,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",31,180
"v4-v4c-blind","blind",NA,"A1,A2,A3,A4,B4,C1,C2,C3,C4,D1,D2,D3,D4",17,180
"v4-v4c-blind","blind",NA,"A1,A2,A3,A4,C1,C2,C3,C4",30,180
"v4-v4c-blind","blind",NA,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",24,180
"v4-v4c-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C4,D1,D2,D3,D4",57,183
