"ecology","eco_name","char","type","p_affected","p_z1","p_z2","dominant","label"
"eco1","arboreal",167,"neomorphic",0.997,0,0.997,"z=2 (asymmetric)","M175_axial_body_suture"
"eco1","arboreal",212,"neomorphic",0.99,0,0.99,"z=2 (asymmetric)","M224_Medial_tarsal_sesamoid_bone"
"eco1","arboreal",183,"neomorphic",0.98,0,0.98,"z=2 (asymmetric)","M195_third_trochanter"
"eco1","arboreal",94,"neomorphic",0.966,0,0.966,"z=2 (asymmetric)","infraorbital_canal_position"
"eco1","arboreal",170,"neomorphic",0.964,0,0.964,"z=2 (asymmetric)","M179_greater_tuberosity_of_humerus"
"eco1","arboreal",89,"neomorphic",0.958,0,0.958,"z=2 (asymmetric)","M109_posterior_maxillary_notch"
"eco1","arboreal",213,"neomorphic",0.956,0,0.956,"z=2 (asymmetric)","M225_Plantar_process_of_navicular"
"eco1","arboreal",182,"neomorphic",0.944,0,0.944,"z=2 (asymmetric)","M192_great_trochanter_position"
"eco1","arboreal",70,"neomorphic",0.936,0,0.936,"z=2 (asymmetric)","M049_upper_tooth_row_size"
"eco1","arboreal",50,"neomorphic",0.934,0,0.934,"z=2 (asymmetric)","M004_Upper_diastema"
"eco2","semiaquatic",105,"neomorphic",0.763,0.025,0.738,"z=2 (asymmetric)","M118_premaxilla_size"
"eco2","semiaquatic",170,"neomorphic",0.739,0.706,0.034,"z=1 (symmetric)","M179_greater_tuberosity_of_humerus"
"eco2","semiaquatic",70,"neomorphic",0.731,0.707,0.024,"z=1 (symmetric)","M049_upper_tooth_row_size"
"eco2","semiaquatic",207,"neomorphic",0.723,0.052,0.67,"z=2 (asymmetric)","M219_calcaneoastrag_facet_calcaneus"
"eco2","semiaquatic",114,"neomorphic",0.692,0.597,0.095,"z=1 (symmetric)","M143_jugal_ventral_process_in_zygoma"
"eco2","semiaquatic",196,"neomorphic",0.692,0.13,0.562,"z=2 (asymmetric)","M209_astragalofibular_facet"
"eco2","semiaquatic",164,"neomorphic",0.673,0.073,0.601,"z=2 (asymmetric)","M154_interparietal_occurrence"
"eco2","semiaquatic",202,"neomorphic",0.662,0.528,0.134,"z=1 (symmetric)","M215_astragalonavicular_facet"
"eco2","semiaquatic",25,"neomorphic",0.646,0.215,0.431,"z=2 (asymmetric)","M071_ectolophid_occurrence"
"eco2","semiaquatic",26,"neomorphic",0.646,0.557,0.09,"z=1 (symmetric)","M073_lower_molar_trigonid"
"eco3","fossorial",130,"neomorphic",0.976,0,0.976,"z=2 (asymmetric)","M108_sphenopalatine_foramen"
"eco3","fossorial",183,"neomorphic",0.937,0.003,0.934,"z=2 (asymmetric)","M195_third_trochanter"
"eco3","fossorial",99,"neomorphic",0.926,0.002,0.924,"z=2 (asymmetric)","M103_nasolacrimal_canal"
"eco3","fossorial",172,"neomorphic",0.888,0.002,0.887,"z=2 (asymmetric)","M181_radial_fossa"
"eco3","fossorial",212,"neomorphic",0.882,0,0.882,"z=2 (asymmetric)","M224_Medial_tarsal_sesamoid_bone"
"eco3","fossorial",141,"neomorphic",0.88,0.014,0.866,"z=2 (asymmetric)","M114_mastoid_foramen"
"eco3","fossorial",90,"neomorphic",0.875,0,0.875,"z=2 (asymmetric)","M120_transverse_constriction_of_palate"
"eco3","fossorial",122,"neomorphic",0.87,0.007,0.863,"z=2 (asymmetric)","M128_orbit_orientation"
"eco3","fossorial",175,"neomorphic",0.866,0.008,0.858,"z=2 (asymmetric)","M184_posterior_edge_of_proximal_ulna"
"eco3","fossorial",217,"neomorphic",0.854,0,0.854,"z=2 (asymmetric)","A178_digital_ray_IV"
