"clade","eco","truth","q05","median","q95","nPresent","nTotal","rep","arm"
"A","eco-1",0.15,0.00306119932127733,0.109868957121837,0.262540759593346,176,176,1,"blind"
"B","eco-1",0.15,0.00987689671340615,2.14363580695378,3.16729609969248,176,176,1,"blind"
"C","eco-0",0.035,0.0105354997427519,0.0316951392237257,0.15363811534806,176,176,1,"blind"
"D","eco-0",0.035,0.00450304890970945,0.0218062417713964,0.061501586997825,176,176,1,"blind"
"A","eco-1",0.15,0.557340388234055,2.65373730816462,3.79528233103395,172,172,1,"aware"
"B","eco-1",0.15,0.00324222171569403,0.0116602740225809,3.14902605097377,172,172,1,"aware"
"C","eco-0",0.035,0.00710545363218096,0.0248703470170213,0.0802304528448584,172,172,1,"aware"
"D","eco-0",0.035,0.00612414426709534,0.0322367258618185,0.0922019830794909,172,172,1,"aware"
"A","eco-1",0.15,0.00159311943367325,0.0609745658629355,3.2215597953294,172,172,2,"blind"
"B","eco-1",0.15,0.00699876965956979,0.0388254253032864,2.72879310502847,172,172,2,"blind"
"C","eco-0",0.035,0.00648043875510691,0.0243348824180964,3.07046755068781,144,172,2,"blind"
"D","eco-0",0.035,0.00567399141937938,0.0207370662709528,2.71856107610224,144,172,2,"blind"
"A","eco-1",0.15,1.11761630521673,2.6419804434432,3.347019542427,180,180,2,"aware"
"B","eco-1",0.15,0.00992334079528357,0.0459019966718272,2.78356922698464,180,180,2,"aware"
"C","eco-0",0.035,0.0090481605225152,0.0389688347341961,3.19370169926009,157,180,2,"aware"
"D","eco-0",0.035,0.0108212299840377,0.053518378003808,2.5408740243015,93,180,2,"aware"
"A","eco-1",0.15,0.00555970894642491,0.0336637496366081,2.26974919546313,183,183,3,"blind"
"B","eco-1",0.15,0.00655967796835134,0.0301760285851931,2.44002261827252,183,183,3,"blind"
"C","eco-0",0.035,0.00331919548254714,0.0218118606421321,0.661775711917494,153,183,3,"blind"
"D","eco-0",0.035,0.00773304210906212,0.0244784662876903,2.29230074314235,183,183,3,"blind"
"A","eco-1",0.15,0.61085861361732,2.08632319108427,2.88662931869791,183,183,3,"aware"
"B","eco-1",0.15,0.00621105058624698,0.0223574292966145,0.146089370934224,183,183,3,"aware"
"C","eco-0",0.035,0.0049321194906581,0.0331449050229543,2.71662398942932,154,183,3,"aware"
"D","eco-0",0.035,0.00978042486572341,0.0473491317106566,0.100455681961253,183,183,3,"aware"
