Sample	log_posterior	log_likelihood	tree_length	rate_loss	rate_log_sd	p	rate_neo	swap_cold	topo_hash	kPrime_42	kPrime_43	kPrime_44	kPrime_45	kPrime_46	kPrime_47	kPrime_48	kPrime_49	kPrime_50	kPrime_51	kPrime_52	kPrime_53	kPrime_54	kPrime_55	kPrime_56	kPrime_57	kPrime_58	kPrime_59	kPrime_60	kPrime_61	kPrime_62	kPrime_63	kPrime_64	kPrime_65	kPrime_66	kPrime_67	kPrime_68	kPrime_69	kPrime_70	kPrime_71	kPrime_72	kPrime_73	kPrime_74	kPrime_75	kPrime_76	kPrime_77	kPrime_78	kPrime_79	kPrime_80	kPrime_81	kPrime_82	kPrime_83	kPrime_84	kPrime_85	kPrime_86	kPrime_87	kPrime_88	kPrime_89	kPrime_90	kPrime_91	kPrime_92	kPrime_93	kPrime_94	kPrime_95	kPrime_96	kPrime_97	kPrime_98	kPrime_99	kPrime_100	kPrime_101	kPrime_102	kPrime_103	kPrime_104	kPrime_105	kPrime_106	kPrime_107	kPrime_108	kPrime_109	kPrime_110	kPrime_111	kPrime_112	kPrime_113	kPrime_114	kPrime_115	kPrime_116	kPrime_117	kPrime_118	kPrime_119	kPrime_120	kPrime_121	kPrime_122	kPrime_123	kPrime_124	kPrime_125	kPrime_126	kPrime_127	kPrime_128	kPrime_129	kPrime_130	kPrime_131	kPrime_132	kPrime_133	kPrime_134	kPrime_135	kPrime_136	kPrime_137	kPrime_138	kPrime_139	kPrime_140	kPrime_141	kPrime_142	kPrime_143	kPrime_144	kPrime_145	kPrime_146	kPrime_147	kPrime_148	kPrime_149	kPrime_150	kPrime_151	kPrime_152	kPrime_153	kPrime_154	kPrime_155	kPrime_156	kPrime_157	kPrime_158	kPrime_159	kPrime_160	kPrime_161	kPrime_162	kPrime_163	kPrime_164	kPrime_165	kPrime_166	kPrime_167	kPrime_168	kPrime_169	kPrime_170	kPrime_171	kPrime_172	kPrime_173	kPrime_174	kPrime_175	kPrime_176	kPrime_177	kPrime_178	kPrime_179	kPrime_180	kPrime_181	kPrime_182	kPrime_183	kPrime_184	kPrime_185	kPrime_186	kPrime_187	kPrime_188	kPrime_189	kPrime_190	kPrime_191	kPrime_192	kPrime_193	kPrime_194	br_1	br_2	br_3	br_4	br_5	br_6	br_7	br_8	br_9	br_10	br_11	br_12	br_13	br_14	br_15	br_16	br_17	br_18	br_19	br_20	br_21	br_22	br_23	br_24	br_25	br_26	br_27	br_28	br_29	br_30
# Topology: nni:1.0% spr:1.0% gibbs_spr:1.0% gibbs_subtree_swap:1.0% tbr:1.0% pspr:1.0%
# Branches: tree_length:3.0% branch_lengths:1.0% dirichlet_branch:1.0% local_dirichlet:0.9%
# Characters: gibbs_kPrime:33.1% kPrime:7.4% p:1.7% block_kPrime:1.0%
# Rates: neo_joint:13.1% joint_tl_rl:7.1% rate_loss:6.9% rate_neo:6.0% joint_tl_rls:4.1% rate_log_sd:3.1% slice_rate_loss:1.7% slice_rate_neo:1.7% slice_rate_log_sd:1.7%
53200	-971.459082436398	-1036.30727870332	1.42277635614002	0.690938600920315	0.54338643106536	0.979950929293523	0.585213524300542	0	3521318235350484	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0184326533001181	0.0411283639628107	0.0202570919682794	0.0429874849268333	0.100275315100078	0.0220998282559878	0.0357719149562773	0.00679961326716337	0.00637787509049786	0.0430586588466116	0.012000787181494	0.0610633487407347	0.0274485557714373	0.0147498753858106	0.0258130663133646	0.00883749665641275	0.0509189736289788	0.027983543601101	0.151234783533777	0.00955412038884893	0.0230540036695048	0.037464909162405	0.0256370823172587	0.02201776763301	0.0315024396111937	0.045277640436616	0.00654686768422469	0.0457433949545629	0.0332544519606836	0.00270809169392295
53400	-977.64742396905	-1038.76520339538	1.25759540203012	0.842610352080639	0.333792175988809	0.981132315197053	0.64641295148993	0	5452031817543923	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0184326533001181	0.0411283639628107	0.0202570919682794	0.0545997330562906	0.080358425467456	0.0220998282559878	0.0357719149562773	0.00679961326716337	0.00637787509049786	0.0430586588466116	0.012000787181494	0.0677087440829423	0.0108935123186112	0.00717338304914186	0.0389860533432098	0.0217545165347674	0.0509189736289788	0.027983543601101	0.160788903922626	0.0230540036695048	0.0187324545812025	0.0187324545812025	0.0256370823172587	0.02201776763301	0.0315024396111937	0.045277640436616	0.00654686768422469	0.0454441699968147	0.0332544519606836	0.00270809169392295
53600	-973.455387768338	-1038.80313532263	1.26183250853916	1.137928982807	0.503582103096641	0.986105805353651	0.694887208658995	0	5452031817543923	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0184326533001181	0.0411283639628107	0.0202570919682794	0.0545997330562906	0.080358425467456	0.0220998282559878	0.0270718846557889	0.00679961326716337	0.00637787509049786	0.0517586891471	0.012000787181494	0.0677087440829423	0.0108935123186112	0.00717338304914186	0.0389860533432098	0.0217545165347674	0.0509189736289788	0.027983543601101	0.160788903922626	0.0230540036695048	0.00982227679330881	0.0187324545812025	0.0256370823172587	0.0309279454209038	0.0315024396111937	0.045277640436616	0.00654686768422469	0.0454441699968147	0.0332544519606836	0.00270809169392295
53800	-975.049109590595	-1037.17655682151	1.36547160301839	0.717602254215294	0.0513886019184555	0.986906085074147	0.52406474238248	2	5452031817543923	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0261502207300549	0.0411283639628107	0.0202570919682794	0.0545997330562906	0.080358425467456	0.0220998282559878	0.0270718846557889	0.00679961326716337	0.00735547130069813	0.0517586891471	0.012000787181494	0.0677087440829423	0.0108935123186112	0.00305132370582889	0.0389860533432098	0.0217545165347674	0.0398060336016055	0.027983543601101	0.160788903922626	0.0230540036695048	0.00982227679330881	0.0264451302903143	0.0256370823172587	0.0309279454209038	0.0315024396111937	0.045277640436616	0.00654686768422469	0.0442713300182522	0.0332544519606836	0.00270809169392295
54000	-986.166765496981	-1035.84015212261	1.10139413559158	0.484033572849214	0.556871215618899	0.96608585037833	0.403018918367639	2	3521318235350484	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	0.0261502207300549	0.0411283639628107	0.0202570919682794	0.0545997330562906	0.0835983743067021	0.010632433059058	0.0270718846557889	0.00679961326716337	0.00735547130069813	0.0517586891471	0.012000787181494	0.0617030853670928	0.0108935123186112	0.0145187189027587	0.0389860533432098	0.0217545165347674	0.0398060336016055	0.027983543601101	0.160788903922626	0.0115270018347524	0.0115270018347524	0.0264451302903143	0.0354593591105675	0.0309279454209038	0.0282624907719476	0.045277640436616	0.0125525264000742	0.0442713300182522	0.0332544519606836	0.00270809169392295
54200	-974.10297327282	-1037.1589066673	1.42611916849986	0.279758526133005	0.204523073502684	0.992282914634626	0.334556971170382	2	3521318235350484	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0230720554517639	0.00649463425634718	0.0495010335310349	0.0545997330562906	0.0835983743067021	0.010632433059058	0.0270718846557889	0.00679961326716337	0.0129004418700629	0.0517586891471	0.012000787181494	0.0617030853670928	0.0108935123186112	0.0145187189027587	0.0389860533432098	0.0217545165347674	0.0398060336016055	0.027983543601101	0.160788903922626	0.0115270018347524	0.0115270018347524	0.0264451302903143	0.0354593591105675	0.0309279454209038	0.0282624907719476	0.0453187911995473	0.0125525264000742	0.0442713300182522	0.0203792031236688	0.0184651726206408
54400	-986.153509643044	-1037.96959588541	1.18945997628707	1.13089175143352	1.02613791263778	0.968998088664978	0.636123509724859	2	3521318235350484	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	0.0230720554517639	0.00649463425634718	0.0495010335310349	0.0545997330562906	0.0835983743067021	0.010632433059058	0.0270718846557889	0.00679961326716337	0.0129004418700629	0.0517586891471	0.012000787181494	0.0617030853670928	0.0108935123186112	0.0145187189027587	0.0389860533432098	0.0217545165347674	0.0398060336016055	0.027983543601101	0.160788903922626	0.0115270018347524	0.0115270018347524	0.0264451302903143	0.0354593591105675	0.0309279454209038	0.0282624907719476	0.0453187911995473	0.0125525264000742	0.0442713300182522	0.0203792031236688	0.0184651726206408
54600	-974.941940984356	-1035.27504657989	1.08010685694032	0.981489427683906	0.910563902978966	0.978661066838092	0.457442004521986	2	8466954280062355	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0310282081303253	0.00854377051554283	0.0253359044371316	0.0545997330562906	0.0835983743067021	0.010632433059058	0.0270718846557889	0.00679961326716337	0.0129004418700629	0.0517586891471	0.012000787181494	0.0617030853670928	0.00850913295586639	0.0169030982655036	0.0445419982973847	0.0217545165347674	0.0398060336016055	0.0224275986469261	0.160788903922626	0.0115270018347524	0.0115270018347524	0.0264451302903143	0.0354593591105675	0.0309279454209038	0.0282624907719476	0.0499694541667249	0.0125525264000742	0.0442713300182522	0.0212630119099424	0.0270905410233358
54800	-978.908807429959	-1035.56040892599	1.31785934099625	1.17972930116353	0.200713344951916	0.994377306063193	0.510576454358475	0	8728474999979009	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0326898444880814	0.0404957712878243	0.0835983743067021	0.0185167494945194	0.0270718846557889	0.00913271302460642	0.0341839730805382	0.0471659980746752	0.012000787181494	0.0580345550546611	0.0247109945868378	0.0180929287300966	0.0445419982973847	0.0232924243196952	0.0173357617001356	0.0086582768452611	0.160788903922626	0.0115270018347524	0.0282176846333198	0.0264451302903143	0.0354593591105675	0.0309279454209038	0.0282624907719476	0.0155141040651627	0.0499694541667249	0.0052259036386854	0.0442713300182522	0.0155141040651627	0.0212630119099424	0.0270905410233358
55000	-967.549529775223	-1035.23376286298	1.16093581854263	1.16984165646203	0.342175326191493	0.999757720697098	0.629597008829049	0	8728474999979009	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0326898444880814	0.0404957712878243	0.0835983743067021	0.0185167494945194	0.0270718846557889	0.00913271302460642	0.0341839730805382	0.0471659980746752	0.012000787181494	0.0580345550546611	0.0247109945868378	0.0180929287300966	0.0445419982973847	0.0232924243196952	0.0173357617001356	0.0086582768452611	0.160788903922626	0.0115270018347524	0.0282176846333198	0.0264451302903143	0.0354593591105675	0.0309279454209038	0.0282624907719476	0.0155141040651627	0.0499694541667249	0.0052259036386854	0.0442713300182522	0.0155141040651627	0.0212630119099424	0.0270905410233358
55200	-968.099905617366	-1035.18577229295	1.20597541140188	0.795143853718702	0.0139827931228269	0.991040161390472	0.569635799024553	6	8728474999979009	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0326898444880814	0.0404957712878243	0.0835983743067021	0.0185167494945194	0.0270718846557889	0.00913271302460642	0.0341839730805382	0.0471659980746752	0.012000787181494	0.0580345550546611	0.0247109945868378	0.0180929287300966	0.0445419982973847	0.0232924243196952	0.0173357617001356	0.0086582768452611	0.160788903922626	0.0115270018347524	0.0282176846333198	0.0264451302903143	0.0354593591105675	0.0309279454209038	0.0282624907719476	0.0155141040651627	0.0499694541667249	0.0052259036386854	0.0442713300182522	0.0155141040651627	0.0212630119099424	0.0270905410233358
