Sample	log_posterior	log_likelihood	tree_length	rate_loss	rate_log_sd	p	rate_neo	phi	pi0	theta_1	swap_cold	topo_hash	kPrime_54	kPrime_55	kPrime_56	kPrime_57	kPrime_58	kPrime_59	kPrime_60	kPrime_61	kPrime_62	kPrime_63	kPrime_64	kPrime_65	kPrime_66	kPrime_67	kPrime_68	kPrime_69	kPrime_70	kPrime_71	kPrime_72	kPrime_73	kPrime_74	kPrime_75	kPrime_76	kPrime_77	kPrime_78	kPrime_79	kPrime_80	kPrime_81	kPrime_82	kPrime_83	kPrime_84	kPrime_85	kPrime_86	kPrime_87	kPrime_88	kPrime_89	kPrime_90	kPrime_91	kPrime_92	kPrime_93	kPrime_94	kPrime_95	kPrime_96	kPrime_97	kPrime_98	kPrime_99	kPrime_100	kPrime_101	kPrime_102	kPrime_103	kPrime_104	kPrime_105	kPrime_106	kPrime_107	kPrime_108	kPrime_109	kPrime_110	kPrime_111	kPrime_112	kPrime_113	kPrime_114	kPrime_115	kPrime_116	kPrime_117	kPrime_118	kPrime_119	kPrime_120	kPrime_121	kPrime_122	kPrime_123	kPrime_124	kPrime_125	kPrime_126	kPrime_127	kPrime_128	kPrime_129	kPrime_130	kPrime_131	kPrime_132	kPrime_133	kPrime_134	kPrime_135	kPrime_136	kPrime_137	kPrime_138	kPrime_139	kPrime_140	kPrime_141	kPrime_142	kPrime_143	kPrime_144	kPrime_145	kPrime_146	kPrime_147	kPrime_148	kPrime_149	kPrime_150	kPrime_151	kPrime_152	kPrime_153	kPrime_154	kPrime_155	kPrime_156	kPrime_157	kPrime_158	kPrime_159	kPrime_160	kPrime_161	kPrime_162	kPrime_163	kPrime_164	kPrime_165	kPrime_166	kPrime_167	kPrime_168	kPrime_169	kPrime_170	kPrime_171	kPrime_172	kPrime_173	kPrime_174	kPrime_175	kPrime_176	kPrime_177	kPrime_178	kPrime_179	kPrime_180	kPrime_181	kPrime_182	kPrime_183	kPrime_184	kPrime_185	kPrime_186	kPrime_187	br_1	br_2	br_3	br_4	br_5	br_6	br_7	br_8	br_9	br_10	br_11	br_12	br_13	br_14	br_15	br_16	br_17	br_18	br_19	br_20	br_21	br_22	br_23	br_24	br_25	br_26	br_27	br_28	br_29	br_30
# Topology: nni:1.2% spr:1.1% gibbs_spr:1.1% gibbs_subtree_swap:1.1% tbr:1.1% pspr:1.1%
# Branches: branch_lengths:4.1% tree_length:2.5% local_dirichlet:1.0% dirichlet_branch:1.0%
# Characters: gibbs_kPrime:29.6% kPrime:6.3% p:1.7% block_kPrime:1.1%
# Rates: joint_tl_rls:11.6% neo_joint:5.0% joint_tl_rl:3.7% rate_log_sd:3.0% rate_neo:2.5% rate_loss:2.4% slice_rate_loss:1.7% slice_rate_neo:1.7% slice_rate_log_sd:1.7%
# Ecology: scale_theta:5.9% scale_pi0:2.6% scale_phi:2.4% gibbs_z:2.2%
52200	-1115.55974590448	-1032.97019544154	1.3389831667648	1.25436971899183	0.290224675827321	0.995729677414027	1.15783688104793	1.77800437723977	0.736094485997674	0.537479883770581	32	6520121443623458	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.113686933932875	0.00575390378396525	0.0360612391663631	0.0205768140780663	0.037794971789492	0.0118500515901432	0.0322978173283565	0.0217851502740288	0.0153114213292819	0.0177927238451289	0.00045001169529426	0.0160134370974701	0.0609516165794869	0.0153155778514553	0.0946420986223728	0.173382821782521	0.0342959733852241	0.0121190561071209	0.0102879010605949	0.00183971918094147	0.0118505438514016	0.00782184835070367	0.0716348128772108	0.00341532702557072	0.0270414575429357	0.0288672626619338	0.0389503010813265	0.0259001988522845	0.00982801673363716	0.0424809905428122
52400	-1082.8616804161	-1027.54250135395	1.32620947502807	1.46127980547085	0.480165085416927	0.990883620585825	1.02067677064532	1.3098948185258	0.742955470471887	0.0880100311539717	35	1001924983028515	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0123053696962256	0.015744757212759	0.0898947299098291	0.162363773551132	0.0243427649094058	0.0215710166690729	0.0125466776228848	0.0390274639104733	0.0143225829563871	0.0196315342520412	0.0306266385235287	0.0296557509447288	0.0362692693278617	0.0395843709466758	0.0117296141112843	0.036440396469497	0.021771384612232	0.00478072400915254	0.111076183578089	0.0118743716981869	0.0166044380533289	0.0405163341169862	0.0136063344250201	0.00766936128544441	0.024802151952413	0.0481016604180495	0.0478516710117448	0.0372797382872949	0.0160905267186466	0.00191840881962456
52600	-1106.19214735636	-1032.34703795169	1.76080649181323	1.68413867464794	0.313716053047571	0.984719178293437	0.873676989477528	1.3098948185258	0.746862245013705	0.0868425546594427	48	1001924983028515	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0123053696962256	0.015744757212759	0.0898947299098291	0.162363773551132	0.0243427649094058	0.0215710166690729	0.0125466776228848	0.0390274639104733	0.0238072857017799	0.0196315342520412	0.0306266385235287	0.0296557509447288	0.0421590486200123	0.030099668201283	0.0147048735255532	0.036440396469497	0.021771384612232	0.00478072400915254	0.10609184363908	0.0079692007124189	0.0107146587611783	0.0405163341169862	0.0136063344250201	0.00766936128544441	0.027311992511518	0.0481016604180495	0.0478516710117448	0.0372797382872949	0.0194949376700496	0.00191840881962456
52800	-1091.44462137002	-1033.50282853284	1.48317228113544	1.61936951446793	0.474842165268892	0.984051970392793	0.872405488368392	1.77800437723977	0.764997757593652	0.767040524773272	31	1729270076704164	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.136056036921958	0.0180310830328689	0.017687376550772	0.0122071004756802	0.017645815010311	0.020409580322844	0.0394002629857285	0.0214081524595731	0.0153114213292819	0.0177927238451289	0.0424809905428122	0.00478913393103232	0.0389653776808373	0.048357735991673	0.00557462522647338	0.092096711169077	0.173382821782521	0.00215941119058724	0.0340031851412935	0.0199545641560386	0.0158581273755662	0.00343728800466683	0.0235664781951925	0.0196066070620391	0.00380715188492424	0.0237356986023667	0.0260311536079401	0.0533351579239463	0.0248472482393468	0.0280609793575187
53000	-1070.28839651126	-1029.97976740121	1.05968495443849	1.10619528378746	1.06791313268386	0.990511622021118	0.821863436532683	0.348774290818811	0.736065464354778	0.206475272928268	25	1001924983028515	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0197515773965017	0.015744757212759	0.112869633264106	0.162363773551132	0.0243427649094058	0.0215710166690729	0.0195988249937251	0.0399980969911894	0.0238072857017799	0.0196315342520412	0.0176152925942096	0.0296557509447288	0.0421590486200123	0.030099668201283	0.0147048735255532	0.0346103125786278	0.0090202206732398	0.00478072400915254	0.10609184363908	0.00319167519673496	0.0107146587611783	0.0431984259039347	0.0136063344250201	0.0118161811352216	0.0249821460950592	0.0481016604180495	0.037278833560233	0.0372797382872949	0.0194949376700496	0.00191840881962456
