Sample	log_posterior	log_likelihood	tree_length	rate_loss	rate_log_sd	p	rate_neo	phi	pi0	theta_1	swap_cold	topo_hash	kPrime_50	kPrime_51	kPrime_52	kPrime_53	kPrime_54	kPrime_55	kPrime_56	kPrime_57	kPrime_58	kPrime_59	kPrime_60	kPrime_61	kPrime_62	kPrime_63	kPrime_64	kPrime_65	kPrime_66	kPrime_67	kPrime_68	kPrime_69	kPrime_70	kPrime_71	kPrime_72	kPrime_73	kPrime_74	kPrime_75	kPrime_76	kPrime_77	kPrime_78	kPrime_79	kPrime_80	kPrime_81	kPrime_82	kPrime_83	kPrime_84	kPrime_85	kPrime_86	kPrime_87	kPrime_88	kPrime_89	kPrime_90	kPrime_91	kPrime_92	kPrime_93	kPrime_94	kPrime_95	kPrime_96	kPrime_97	kPrime_98	kPrime_99	kPrime_100	kPrime_101	kPrime_102	kPrime_103	kPrime_104	kPrime_105	kPrime_106	kPrime_107	kPrime_108	kPrime_109	kPrime_110	kPrime_111	kPrime_112	kPrime_113	kPrime_114	kPrime_115	kPrime_116	kPrime_117	kPrime_118	kPrime_119	kPrime_120	kPrime_121	kPrime_122	kPrime_123	kPrime_124	kPrime_125	kPrime_126	kPrime_127	kPrime_128	kPrime_129	kPrime_130	kPrime_131	kPrime_132	kPrime_133	kPrime_134	kPrime_135	kPrime_136	kPrime_137	kPrime_138	kPrime_139	kPrime_140	kPrime_141	kPrime_142	kPrime_143	kPrime_144	kPrime_145	kPrime_146	kPrime_147	kPrime_148	kPrime_149	kPrime_150	kPrime_151	kPrime_152	kPrime_153	kPrime_154	kPrime_155	kPrime_156	kPrime_157	kPrime_158	kPrime_159	kPrime_160	kPrime_161	kPrime_162	kPrime_163	kPrime_164	kPrime_165	kPrime_166	kPrime_167	kPrime_168	kPrime_169	kPrime_170	kPrime_171	kPrime_172	kPrime_173	kPrime_174	kPrime_175	kPrime_176	kPrime_177	kPrime_178	kPrime_179	kPrime_180	kPrime_181	kPrime_182	kPrime_183	kPrime_184	kPrime_185	kPrime_186	kPrime_187	kPrime_188	kPrime_189	kPrime_190	kPrime_191	kPrime_192	kPrime_193	kPrime_194	kPrime_195	kPrime_196	kPrime_197	kPrime_198	kPrime_199	kPrime_200	kPrime_201	kPrime_202	kPrime_203	kPrime_204	kPrime_205	kPrime_206	br_1	br_2	br_3	br_4	br_5	br_6	br_7	br_8	br_9	br_10	br_11	br_12	br_13	br_14	br_15	br_16	br_17	br_18	br_19	br_20	br_21	br_22	br_23	br_24	br_25	br_26	br_27	br_28	br_29	br_30
# Topology: nni:6.8% spr:1.0% gibbs_spr:1.0% gibbs_subtree_swap:1.0% tbr:1.0% pspr:1.0%
# Branches: branch_lengths:9.3% dirichlet_branch:2.2% tree_length:2.0% local_dirichlet:1.3%
# Characters: gibbs_kPrime:30.7% p:1.6% kPrime:1.0% block_kPrime:1.0%
# Rates: joint_tl_rls:10.7% neo_joint:4.4% joint_tl_rl:2.6% rate_log_sd:2.6% rate_loss:2.2% rate_neo:2.2% slice_rate_loss:1.6% slice_rate_neo:1.6% slice_rate_log_sd:1.6%
# Ecology: scale_theta:4.1% gibbs_z:2.0% scale_phi:1.9% scale_pi0:1.9%
51200	-1144.88829266663	-1042.82001679944	0.311562610700315	1.75508799512579	2.65142943329391	0.989577610109415	0.954803948738002	0.154646203696817	0.773460336366519	0.330525810972389	0	1368940280938258	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0141350150457663	0.0113938219540276	0.0924972520848904	0.0692170281502895	0.00308883968608662	0.171539857235688	0.0163750885493625	0.0205861865954791	0.0427493592190144	0.0416232055801115	0.0170751591077983	0.050264245615419	0.0251094969772201	0.0273471418023137	0.0264922226935424	0.00833418692120353	0.0102258292937657	0.0376684221626606	0.0491010298199993	0.0184734863914923	0.0252396309168639	0.0266065254315061	0.0180781939204407	0.0331084904552622	0.0286389002188029	0.0347449730103995	0.0204899896317565	0.0124326415139552	0.0273717957565547	0.0199919842583275
51400	-1141.99037000826	-1059.87968875392	0.676999482274743	1.48317787655772	1.88711758365657	0.966782344899038	0.252117665261267	0.154646203696817	0.744902404051503	0.269126820470394	6	2111788047167562	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	0.0335477746582677	0.0224367000454569	0.0924972520848904	0.0692170281502895	0.00308883968608662	0.171539857235688	0.0163750885493625	0.0205861865954791	0.0231622024970654	0.0416232055801115	0.0170751591077983	0.050264245615419	0.0251094969772201	0.0269404043016924	0.0264922226935424	0.0288871925108044	0.0102258292937657	0.0372222042035036	0.0249675042934682	0.0188802238921135	0.0239211426051972	0.0313272913455359	0.00825275785009052	0.0331084904552622	0.0286389002188029	0.0337791241427476	0.0204899896317565	0.0246957316577198	0.018093623935949	0.0175543301849131
51600	-1135.2879316526	-1068.97121039019	0.852730107028041	1.93287316290744	1.18079895071634	0.99672457739149	0.559112548841928	0.0927590910819427	0.774736344639153	0.368374091089616	8	2111788047167562	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0251079800483705	0.0206585372458593	0.0983041999601955	0.0680165902317629	0.0196421301788963	0.171539857235688	0.0144824097983649	0.0109530807811497	0.0202744995002318	0.0532508784939794	0.0149042506909573	0.0377672233791507	0.0265157676500871	0.0269404043016924	0.0219655273854175	0.0288871925108044	0.00669072468756476	0.0488053512832252	0.0600815285349753	0.0130732760168084	0.0120666953461594	0.0400556179411868	0.00825275785009052	0.0320666795386446	0.0286389002188029	0.014393012554359	0.0204899896317565	0.0246957316577198	0.0139248751611859	0.0175543301849131
51800	-1155.82756711494	-1050.1643045282	0.892280522766784	1.91940128921147	0.836947900969182	0.991080199116599	0.800182838584733	0.193184519542843	0.729820037697922	0.444672294612038	4	2111788047167562	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0396096591258926	0.0236336823316	0.0983041999601955	0.0680165902317629	0.0196421301788963	0.157644121493952	0.0144824097983649	0.0109530807811497	0.0202744995002318	0.0393824441758494	0.0213369587268501	0.0377672233791507	0.0147334522094136	0.0269404043016924	0.0169074187228259	0.033360492903485	0.0100027476036588	0.0488053512832252	0.0415054573862722	0.00755875983680595	0.0392059898502164	0.0400556179411868	0.0260801685169707	0.029091534452904	0.0457116009401457	0.014393012554359	0.0181178422372727	0.0129016201288448	0.0139248751611859	0.00965665428563858
52000	-1124.30349157926	-1058.88613116819	0.982891150438953	0.36897319149093	0.89460085397401	0.991386281439451	0.261916176032938	0.264037040299796	0.763676661121171	0.437043502030605	0	2111788047167562	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.02858382572499	0.0236336823316	0.0751369503025879	0.0680165902317629	0.0114199876406276	0.157644121493952	0.0144824097983649	0.0283792651060787	0.0202744995002318	0.0393824441758494	0.0178935225348878	0.0377672233791507	0.0147334522094136	0.0269404043016924	0.0169074187228259	0.033360492903485	0.0106642453051723	0.0488053512832252	0.0396476042354182	0.0281630830551225	0.0525853194183507	0.0186424955164966	0.0254186708154572	0.0231997823625303	0.0457116009401457	0.0269622102221434	0.0181178422372727	0.0182029094716612	0.0196659404938645	0.00965665428563858
