Sample	log_posterior	log_likelihood	tree_length	rate_loss	rate_log_sd	p	rate_neo	swap_cold	topo_hash	kPrime_50	kPrime_51	kPrime_52	kPrime_53	kPrime_54	kPrime_55	kPrime_56	kPrime_57	kPrime_58	kPrime_59	kPrime_60	kPrime_61	kPrime_62	kPrime_63	kPrime_64	kPrime_65	kPrime_66	kPrime_67	kPrime_68	kPrime_69	kPrime_70	kPrime_71	kPrime_72	kPrime_73	kPrime_74	kPrime_75	kPrime_76	kPrime_77	kPrime_78	kPrime_79	kPrime_80	kPrime_81	kPrime_82	kPrime_83	kPrime_84	kPrime_85	kPrime_86	kPrime_87	kPrime_88	kPrime_89	kPrime_90	kPrime_91	kPrime_92	kPrime_93	kPrime_94	kPrime_95	kPrime_96	kPrime_97	kPrime_98	kPrime_99	kPrime_100	kPrime_101	kPrime_102	kPrime_103	kPrime_104	kPrime_105	kPrime_106	kPrime_107	kPrime_108	kPrime_109	kPrime_110	kPrime_111	kPrime_112	kPrime_113	kPrime_114	kPrime_115	kPrime_116	kPrime_117	kPrime_118	kPrime_119	kPrime_120	kPrime_121	kPrime_122	kPrime_123	kPrime_124	kPrime_125	kPrime_126	kPrime_127	kPrime_128	kPrime_129	kPrime_130	kPrime_131	kPrime_132	kPrime_133	kPrime_134	kPrime_135	kPrime_136	kPrime_137	kPrime_138	kPrime_139	kPrime_140	kPrime_141	kPrime_142	kPrime_143	kPrime_144	kPrime_145	kPrime_146	kPrime_147	kPrime_148	kPrime_149	kPrime_150	kPrime_151	kPrime_152	kPrime_153	kPrime_154	kPrime_155	kPrime_156	kPrime_157	kPrime_158	kPrime_159	kPrime_160	kPrime_161	kPrime_162	kPrime_163	kPrime_164	kPrime_165	kPrime_166	kPrime_167	kPrime_168	kPrime_169	kPrime_170	kPrime_171	kPrime_172	kPrime_173	kPrime_174	kPrime_175	kPrime_176	kPrime_177	kPrime_178	kPrime_179	kPrime_180	kPrime_181	kPrime_182	kPrime_183	kPrime_184	kPrime_185	kPrime_186	kPrime_187	kPrime_188	kPrime_189	kPrime_190	kPrime_191	kPrime_192	kPrime_193	kPrime_194	kPrime_195	kPrime_196	kPrime_197	kPrime_198	kPrime_199	kPrime_200	kPrime_201	kPrime_202	kPrime_203	kPrime_204	kPrime_205	kPrime_206	br_1	br_2	br_3	br_4	br_5	br_6	br_7	br_8	br_9	br_10	br_11	br_12	br_13	br_14	br_15	br_16	br_17	br_18	br_19	br_20	br_21	br_22	br_23	br_24	br_25	br_26	br_27	br_28	br_29	br_30
# Topology: nni:1.1% spr:1.1% gibbs_spr:1.1% gibbs_subtree_swap:1.1% tbr:1.1% pspr:1.1%
# Branches: tree_length:3.5% branch_lengths:1.2% dirichlet_branch:1.1% local_dirichlet:1.1%
# Characters: gibbs_kPrime:33.2% kPrime:7.7% p:1.7% block_kPrime:1.1%
# Rates: neo_joint:13.5% rate_loss:7.5% rate_neo:7.3% joint_tl_rl:4.6% rate_log_sd:3.8% slice_rate_loss:1.7% slice_rate_neo:1.7% slice_rate_log_sd:1.7% joint_tl_rls:1.1%
51200	-1038.13047266416	-1083.98780902764	0.670724216786835	0.387024560603549	1.03273638348435	0.966214830492692	0.573020530114087	45	8983782022973039	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	0.00552474467099714	0.0226242315721062	0.010094243686731	0.0419593076111317	0.0184265825160113	0.0324755046653885	0.137818237406966	0.0230769220487356	0.0183563017001804	0.000808642534791953	0.0327227064421552	0.0415497997616643	0.0537535510573205	0.00260603342079665	0.0597478788589955	0.108089195727428	0.0160635152271945	0.0158153617291334	0.018387940777211	0.005434914772439	0.0559345016720252	0.0311045477404753	0.0541644546067779	0.0262578250381984	0.0360070372616202	0.019052248786826	0.024910179843324	0.0295091503290555	0.0372126271679457	0.0205118113663737
51400	-1024.1528221415	-1085.45894760913	1.31775845468584	1.52371910453476	0.391674704299474	0.991630892283935	0.536939456815193	38	5718720738602554	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0492386449800661	0.00822956157314388	0.0139471862980824	0.0137807374132813	0.0330045514667524	0.0324429425923523	0.0399605589974127	0.0314805872128139	0.00619488987496381	0.0121385984810322	0.032902919191547	0.030030960268273	0.0323448570478	0.0235159914858023	0.0257897681646992	0.0647102929745151	0.110945225913347	0.0199704940145954	0.0071446480338789	0.0117043675392051	0.0163020213974386	0.0545828391332591	0.0338610945319943	0.0999921570439276	0.0281217842334678	0.036926107951259	0.020678008769887	0.0162738263799416	0.041428520042565	0.0523558569926965
51600	-1026.38927128024	-1082.47120688587	1.04313810863781	0.996503684482381	1.11870591659924	0.948709954681757	0.326819507882444	41	6024249497448132	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0199874226071452	0.00276237233549857	0.0226242315721062	0.0520535512978627	0.0180440649449394	0.0266588110406341	0.137818237406966	0.0230769220487356	0.0183563017001804	0.000808642534791953	0.0327227064421552	0.0415497997616643	0.0537535510573205	0.00260603342079665	0.0597478788589955	0.10298949922236	0.000153239135803811	0.0526705812627335	0.0193681445777757	0.018387940777211	0.0128126249389579	0.0334221086552438	0.0541644546067779	0.0262578250381984	0.0360070372616202	0.019052248786826	0.024910179843324	0.0295091503290555	0.0372126271679457	0.0205118113663737
51800	-1065.50641889728	-1081.43062436044	0.800028527967385	0.754967063670725	1.02450839202198	0.881307364383506	0.426342048040909	46	6100073928096716	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	3	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	0.0492386449800661	0.00347878556667467	0.0137807374132813	0.0399605589974127	0.0139471862980824	0.0330045514667524	0.0362117045563513	0.0566197535149179	0.00557151053530011	0.020114299824817	0.0182842164544273	0.0184245696655471	0.0300935883866178	0.0235159914858023	0.0257897681646992	0.0490907991373893	0.110945225913347	0.00666048119028847	0.0071446480338789	0.0117043675392051	0.0163020213974386	0.0545828391332591	0.0338610945319943	0.0793777273540964	0.0281217842334678	0.036926107951259	0.0386463683703161	0.0266546658652121	0.0457857148116671	0.0661602872264318
52000	-1026.16860341132	-1077.42814514383	0.683847405954254	0.832064383191569	1.31555104218501	0.959710960996278	0.389541539804698	38	8429953161199461	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.0128700980652257	0.0280744891394163	0.0538883593583522	0.0397656886702549	0.129315165678629	0.0036103959903983	0.0378544553881665	0.0408195557215043	0.0493938844096599	0.0343016336547106	0.0408531672632533	0.0371972555173425	0.00962732515022113	0.00967720437427782	0.0420849575842667	0.0435996581010787	0.0263803294158443	0.0221628945440841	0.0951828679605281	0.0113227063068887	0.0074904183124759	0.0241123237048064	0.0266856639582223	0.0237288570905545	0.0172825947261545	0.0163147592808431	0.0324361478179193	0.0405286812651372	0.0307912932905744	0.0126471682592097
52200	-1060.86848433596	-1079.09926154878	0.683847405954254	1.52234028695809	1.19809865503623	0.924969429980896	0.593131631127874	22	7746576435159916	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	0.0128700980652257	0.0280744891394163	0.0538883593583522	0.0397656886702549	0.132925561669027	0.0189272276940832	0.0189272276940832	0.0493938844096599	0.0343016336547106	0.0408531672632533	0.0408195557215043	0.0371972555173425	0.00967720437427782	0.00962732515022113	0.0420849575842667	0.0435996581010787	0.0263803294158443	0.0221628945440841	0.0951828679605281	0.0113227063068887	0.0074904183124759	0.0241123237048064	0.0266856639582223	0.0237288570905545	0.0172825947261545	0.0163147592808431	0.0324361478179193	0.0405286812651372	0.0307912932905744	0.0126471682592097
